Video Number,Convolutional Neural Network,Random Forest,Multi-Layer Perceptron,Support Vector Machine,True Value From Sheet
31,97.59,92.16,97.02,96.98,97.5
43,98.1,92.45,97.9,97.9,97.9
44,98.00000000000001,93.67500000000001,96.85000000000001,96.45,98.1
47,98.5,95.53,98.53,95.5,98.4
50,98.35,95.35,98.35,95.3,98.2
52,98.47,95.47,98.47,95.47,98.4
53,97.78999999999999,91.83,96.03,97.49,97.6
60,98.43333333333334,91.8,93.8,97.39999999999999,99.5
62,97.36999999999999,99.42999999999999,99.42999999999999,98.81,99.7
63,98.4,94.4,97.4,97.30000000000001,98.5
66,97.05999999999999,92.9,94.9,97.05999999999999,97.5
68,97.94000000000001,99.29,99.14000000000001,99.14000000000001,98.1
69,98.2,95.2,98.2,95.2,98.4
70,97.29,96.12,98.52000000000001,96.08,98.6
72,97.47,96.62000000000002,97.83000000000001,95.84,97.6
76,94.8,97.8,97.9,97.8,98.6
79,98.2,95.2,95.2,95.2,98.1
82,92.2,98.2,98.2,98.2,98.1
88,98.05999999999999,92.23999999999998,94.85999999999999,97.66,97.9
89,97.34,93.78999999999999,95.88,96.78,98.0
91,98.0,91.47999999999999,95.2,97.53999999999999,97.9
92,95.65,96.85000000000001,97.32000000000002,97.45000000000002,98.1
94,96.7,95.35000000000001,97.05999999999999,96.66,98.2
95,97.97999999999999,91.83,95.57000000000001,97.55999999999999,97.6
96,97.87,91.71,95.91,97.46000000000001,97.6
97,98.17999999999999,91.97,94.58,97.52000000000001,97.6
99,97.88,94.24000000000001,97.94,96.19,97.6
Mean Squared Error,2.4931954732510224,17.512160185185188,3.4841814814814813,2.6503925925925937,0.0
